"level","model","domain","source","total_citations","status_found","status_not_found","status_other","status_found_pct","status_not_found_pct","status_other_pct","title_found","title_found_pct","author_matched","author_matched_pct","doi_valid","doi_valid_pct","all_three_valid","all_three_valid_pct","verification_score_average","verification_score_median","verification_score_0","verification_score_0_pct","verification_score_1","verification_score_1_pct","verification_score_2","verification_score_2_pct","verification_score_3","verification_score_3_pct","verification_title_no__author_no__doi_no","verification_title_no__author_no__doi_no_pct","verification_title_no__author_no__doi_yes","verification_title_no__author_no__doi_yes_pct","verification_title_no__author_yes__doi_no","verification_title_no__author_yes__doi_no_pct","verification_title_no__author_yes__doi_yes","verification_title_no__author_yes__doi_yes_pct","verification_title_yes__author_no__doi_no","verification_title_yes__author_no__doi_no_pct","verification_title_yes__author_no__doi_yes","verification_title_yes__author_no__doi_yes_pct","verification_title_yes__author_yes__doi_no","verification_title_yes__author_yes__doi_no_pct","verification_title_yes__author_yes__doi_yes","verification_title_yes__author_yes__doi_yes_pct","verification_unknown_or_missing","male","female","unknown_gender","male_pct","female_pct","male_pct_known_gender","female_pct_known_gender","male_high_confidence","female_high_confidence","male_low_confidence","female_low_confidence","high_confidence_combined","low_confidence_combined","gender_missing_probability","male_high_confidence_pct","female_high_confidence_pct","male_low_confidence_pct","female_low_confidence_pct","gender_male__status_other","gender_male__status_found","gender_female__status_found","gender_female__status_other","gender_male__status_not_found","gender_unknown__status_found","gender_female__status_not_found","gender_unknown__status_not_found","gender_unknown__status_other","gender_male__verification_score_2","gender_male__verification_score_3","gender_male__verification_score_1","gender_female__verification_score_2","gender_female__verification_score_3","gender_male__verification_score_0","gender_female__verification_score_1","gender_unknown__verification_score_3","gender_female__verification_score_0","gender_unknown__verification_score_0","gender_unknown__verification_score_1","gender_unknown__verification_score_unknown","gender_unknown__verification_score_2","h_index_average","h_index_median","h_index_total_found","h_index_found_pct","h_index_found_pct_identified","works_average","works_median","works_total_found","works_found_pct","works_found_pct_identified","male_h_index_average","male_h_index_median","male_h_index_total_found","male_h_index_found_pct","male_h_index_found_pct_identified","male_works_average","male_works_median","male_works_total_found","male_works_found_pct","male_works_found_pct_identified","female_h_index_average","female_h_index_median","female_h_index_total_found","female_h_index_found_pct","female_h_index_found_pct_identified","female_works_average","female_works_median","female_works_total_found","female_works_found_pct","female_works_found_pct_identified","author_identified","author_not_identified","author_identification_pct","doi_invalid","doi_unknown","failed_db_acl_anthology","failed_db_acl_anthology_pct","failed_db_crossref","failed_db_crossref_pct","failed_db_europe_pmc","failed_db_europe_pmc_pct","failed_db_open_library","failed_db_open_library_pct","failed_db_openalex","failed_db_openalex_pct","failed_db_semantic_scholar","failed_db_semantic_scholar_pct","failed_db_arxiv","failed_db_arxiv_pct"
"overall","all","all","all","14990","7095","6770","1125","47.33","45.16","7.51","8179","54.56","7095","47.33","4397","29.33","4290","28.62","1.32","1","6746","45","1025","6.84","2888","19.27","4290","28.62","6746","45","24","0.16","0","0","0","0","1001","6.68","83","0.55","2805","18.71","4290","28.62","41","11409","3477","104","76.11","23.2","76.64","23.36","10532","2990","877","487","13522","1364","0","70.26","19.95","5.85","3.25","782","5716","1364","293","4911","15","1820","39","50","2306","3475","734","576","804","4894","281","11","1816","36","10","41","6","59.43","50","12772","85.2","100","390.65","240.5","12772","85.2","100","62.15","52","9971","87.4","100","403.02","256","9971","87.4","100","49.95","44","2774","79.78","100","348.33","197","2774","79.78","100","12772","2218","85.2","10552","41","89","0.59","95","0.63","301","2.01","760","5.07","1119","7.46","2294","15.3","6894","45.99"
"model","anthropic","all","all","4990","3058","1506","426","61.28","30.18","8.54","3446","69.06","3058","61.28","2021","40.5","1968","39.44","1.72","2","1494","29.94","359","7.19","1131","22.67","1968","39.44","1494","29.94","12","0.24","0","0","0","0","347","6.95","41","0.82","1090","21.84","1968","39.44","38","3846","1089","55","77.07","21.82","77.93","22.07","3547","951","299","138","4498","437","0","71.08","19.06","5.99","2.77","285","2468","580","102","1093","10","407","6","39","905","1593","264","223","368","1084","94","7","404","6","1","38","3","57.5","49","4397","88.12","100","366.01","224","4397","88.12","100","60.19","50","3448","89.65","100","370.75","240","3448","89.65","100","47.98","43","939","86.23","100","351.72","179","939","86.23","100","4397","593","88.12","2931","38","35","0.7","9","0.18","20","0.4","15","0.3","6","0.12","650","13.03","2337","46.83"
"model","gemini","all","all","5000","777","4107","116","15.54","82.14","2.32","892","17.84","777","15.54","304","6.08","295","5.9","0.39","0","4101","82.02","118","2.36","485","9.7","295","5.9","4101","82.02","6","0.12","0","0","0","0","112","2.24","3","0.06","482","9.64","295","5.9","1","3750","1220","30","75","24.4","75.45","24.55","3432","1020","318","200","4452","518","0","68.64","20.4","6.36","4","87","671","106","23","2992","","1091","24","6","410","262","88","75","33","2990","22","","1090","21","8","1","","65.62","55","4112","82.24","100","454.29","288","4112","82.24","100","68.85","58","3190","85.07","100","471.59","307","3190","85.07","100","54.47","48","915","75","100","394.73","235","915","75","100","4112","888","82.24","4695","1","32","0.64","58","1.16","139","2.78","644","12.88","1","0.02","1124","22.48","4049","80.98"
"model","gpt","all","all","5000","3260","1157","583","65.2","23.14","11.66","3841","76.82","3260","65.2","2072","41.44","2027","40.54","1.84","2","1151","23.02","548","10.96","1272","25.44","2027","40.54","1151","23.02","6","0.12","0","0","0","0","542","10.84","39","0.78","1233","24.66","2027","40.54","2","3813","1168","19","76.26","23.36","76.55","23.45","3553","1019","260","149","4572","409","0","71.06","20.38","5.2","2.98","410","2577","678","168","826","5","322","9","5","991","1620","382","278","403","820","165","4","322","9","1","2","3","55.44","47","4263","85.26","100","354.68","220","4263","85.26","100","57.75","48","3333","87.41","100","370.76","232","3333","87.41","100","47.46","41","920","78.77","100","298.73","176.5","920","78.77","100","4263","737","85.26","2926","2","22","0.44","28","0.56","142","2.84","101","2.02","1112","22.24","520","10.4","508","10.16"
"domain","all","cs","all","3000","1900","1000","100","63.33","33.33","3.33","1998","66.6","1900","63.33","1262","42.07","1244","41.47","1.72","2","991","33.03","98","3.27","665","22.17","1244","41.47","991","33.03","9","0.3","0","0","0","0","89","2.97","9","0.3","656","21.87","1244","41.47","2","2544","453","3","84.8","15.1","84.88","15.12","2149","286","395","167","2435","562","0","71.63","9.53","13.17","5.57","76","1673","227","22","795","","204","1","2","564","1115","78","101","129","787","20","","203","1","","2","","50.93","42","2586","86.2","100","408.76","200","2586","86.2","100","51.48","42","2206","86.71","100","390.05","197.5","2206","86.71","100","47.73","40","380","83.89","100","517.36","217","380","83.89","100","2586","414","86.2","1736","2","14","0.47","24","0.8","41","1.37","182","6.07","13","0.43","366","12.2","1119","37.3"
"domain","all","economics","all","1500","1053","396","51","70.2","26.4","3.4","1103","73.53","1053","70.2","488","32.53","484","32.27","1.76","2","394","26.27","50","3.33","571","38.07","484","32.27","394","26.27","2","0.13","0","0","0","0","48","3.2","2","0.13","569","37.93","484","32.27","1","1305","184","11","87","12.27","87.64","12.36","1279","170","26","14","1449","40","0","85.27","11.33","1.73","0.93","41","924","128","6","340","1","50","6","4","511","415","40","60","68","339","6","1","50","5","4","1","","54.78","47","1384","92.27","100","318","211","1384","92.27","100","56.49","48","1212","92.87","100","328.32","219","1212","92.87","100","42.98","38","171","92.93","100","246.69","173","171","92.93","100","1384","116","92.27","1011","1","12","0.8","11","0.73","4","0.27","33","2.2","22","1.47","177","11.8","613","40.87"
"domain","all","environmental","all","3000","733","2012","255","24.43","67.07","8.5","984","32.8","733","24.43","413","13.77","395","13.17","0.71","0","2008","66.93","241","8.03","352","11.73","395","13.17","2008","66.93","4","0.13","0","0","0","0","237","7.9","14","0.47","338","11.27","395","13.17","4","2003","989","8","66.77","32.97","66.95","33.05","1837","872","166","117","2709","283","0","61.23","29.07","5.53","3.9","167","507","226","83","1329","","680","3","5","243","277","158","109","118","1325","82","","680","3","1","4","","64.31","56","2185","72.83","100","428.67","257","2185","72.83","100","69.97","61","1534","76.59","100","459.65","291","1534","76.59","100","50.96","45.5","650","65.72","100","355.91","193","650","65.72","100","2185","815","72.83","2583","4","22","0.73","16","0.53","147","4.9","228","7.6","618","20.6","588","19.6","1684","56.13"
"domain","all","medicine","all","2990","1128","1338","524","37.73","44.75","17.53","1623","54.28","1128","37.73","844","28.23","790","26.42","1.21","1","1334","44.62","449","15.02","388","12.98","790","26.42","1334","44.62","4","0.13","0","0","0","0","445","14.88","50","1.67","338","11.3","790","26.42","29","2148","791","51","71.84","26.45","73.09","26.91","2036","736","112","55","2772","167","0","68.09","24.62","3.75","1.84","349","858","269","142","941","1","380","17","33","301","596","311","85","193","940","136","1","377","17","2","29","2","71.4","60","2540","84.95","100","435.09","277","2540","84.95","100","77.67","65","1895","88.22","100","482.84","318","1895","88.22","100","53.45","47","637","80.53","100","297.27","194","637","80.53","100","2540","450","84.95","2117","29","16","0.54","24","0.8","77","2.58","165","5.52","408","13.65","462","15.45","1528","51.1"
"domain","all","physics","all","3000","1407","1469","124","46.9","48.97","4.13","1526","50.87","1407","46.9","899","29.97","889","29.63","1.28","1","1466","48.87","115","3.83","525","17.5","889","29.63","1466","48.87","3","0.1","0","0","0","0","112","3.73","7","0.23","518","17.27","889","29.63","5","2423","551","26","80.77","18.37","81.47","18.53","2288","457","135","94","2745","229","0","76.27","15.23","4.5","3.13","100","1158","237","19","1165","12","295","9","5","426","736","99","95","145","1162","16","8","295","9","","5","4","52.59","46","2807","93.57","100","364.1","252","2807","93.57","100","54.2","47.5","2276","93.93","100","360.54","255","2276","93.93","100","46.1","42","516","93.65","100","385.32","234","516","93.65","100","2807","193","93.57","2096","5","15","0.5","13","0.43","13","0.43","90","3","48","1.6","464","15.47","1185","39.5"
"domain","all","psychology","all","1500","874","555","71","58.27","37","4.73","945","63","874","58.27","491","32.73","488","32.53","1.54","2","553","36.87","72","4.8","387","25.8","488","32.53","553","36.87","2","0.13","0","0","0","0","70","4.67","1","0.07","386","25.73","488","32.53","0","986","509","5","65.73","33.93","65.95","34.05","943","469","43","40","1412","83","0","62.87","31.27","2.87","2.67","49","596","277","21","341","1","211","3","1","261","336","48","126","151","341","21","1","211","1","3","","","64.56","55","1270","84.67","100","337.36","239","1270","84.67","100","70.45","60","848","86","100","376.68","280.5","848","86","100","52.65","46","420","82.51","100","257.07","176","420","82.51","100","1270","230","84.67","1009","0","10","0.67","7","0.47","19","1.27","62","4.13","10","0.67","237","15.8","765","51"
"source","all","all","astrophysics","1500","684","782","34","45.6","52.13","2.27","714","47.6","684","45.6","430","28.67","426","28.4","1.22","0","781","52.07","28","1.87","261","17.4","426","28.4","781","52.07","1","0.07","0","0","0","0","27","1.8","3","0.2","258","17.2","426","28.4","4","1112","369","19","74.13","24.6","75.08","24.92","1056","319","56","50","1375","106","0","70.4","21.27","3.73","3.33","19","521","157","11","572","6","201","9","4","190","331","20","70","90","571","8","5","201","9","","4","1","51.92","47","1402","93.47","100","361.6","267","1402","93.47","100","54.26","48","1044","93.88","100","380.65","281.5","1044","93.88","100","45.47","42","349","94.58","100","310.48","239","349","94.58","100","1402","98","93.47","1066","4","3","0.2","5","0.33","2","0.13","9","0.6","6","0.4","253","16.87","393","26.2"
"source","all","all","cell","1490","570","631","289","38.26","42.35","19.4","859","57.65","570","38.26","432","28.99","409","27.45","1.25","1","629","42.21","270","18.12","182","12.21","409","27.45","629","42.21","2","0.13","0","0","0","0","268","17.99","21","1.41","161","10.81","409","27.45","0","1097","379","14","73.62","25.44","74.32","25.68","1020","337","77","42","1357","119","0","68.46","22.62","5.17","2.82","210","442","127","77","445","1","175","11","2","146","312","194","36","96","445","74","1","173","11","2","","","63.69","49","1240","83.22","100","329.24","189","1240","83.22","100","68","53","937","85.41","100","353.56","199","937","85.41","100","50.3","42","301","79.42","100","253.22","160","301","79.42","100","1240","250","83.22","1058","0","8","0.54","12","0.81","59","3.96","74","4.97","172","11.54","234","15.7","805","54.03"
"source","all","all","economics","1500","1053","396","51","70.2","26.4","3.4","1103","73.53","1053","70.2","488","32.53","484","32.27","1.76","2","394","26.27","50","3.33","571","38.07","484","32.27","394","26.27","2","0.13","0","0","0","0","48","3.2","2","0.13","569","37.93","484","32.27","1","1305","184","11","87","12.27","87.64","12.36","1279","170","26","14","1449","40","0","85.27","11.33","1.73","0.93","41","924","128","6","340","1","50","6","4","511","415","40","60","68","339","6","1","50","5","4","1","","54.78","47","1384","92.27","100","318","211","1384","92.27","100","56.49","48","1212","92.87","100","328.32","219","1212","92.87","100","42.98","38","171","92.93","100","246.69","173","171","92.93","100","1384","116","92.27","1011","1","12","0.8","11","0.73","4","0.27","33","2.2","22","1.47","177","11.8","613","40.87"
"source","all","all","expert_systems_applications","1500","918","539","43","61.2","35.93","2.87","959","63.93","918","61.2","632","42.13","622","41.47","1.67","2","534","35.6","41","2.73","301","20.07","622","41.47","534","35.6","5","0.33","0","0","0","0","36","2.4","5","0.33","296","19.73","622","41.47","2","1280","217","3","85.33","14.47","85.5","14.5","1141","164","139","53","1305","192","0","76.07","10.93","9.27","3.53","31","814","104","10","435","","103","1","2","266","551","32","35","71","431","9","","102","1","","2","","48.92","41","1180","78.67","100","374.22","197","1180","78.67","100","50.21","43","1024","80","100","359.94","207.5","1024","80","100","40.47","33","156","71.89","100","467.95","164","156","71.89","100","1180","320","78.67","866","2","6","0.4","11","0.73","16","1.07","94","6.27","12","0.8","180","12","523","34.87"
"source","all","all","hazardous","1500","284","1097","119","18.93","73.13","7.93","402","26.8","284","18.93","173","11.53","160","10.67","0.57","0","1093","72.87","113","7.53","133","8.87","160","10.67","1093","72.87","4","0.27","0","0","0","0","109","7.27","9","0.6","124","8.27","160","10.67","1","991","504","5","66.07","33.6","66.29","33.71","871","420","120","84","1291","204","0","58.07","28","8","5.6","81","186","98","36","724","","370","3","2","88","106","77","45","54","720","35","","370","3","1","1","","68.48","59","1072","71.47","100","491.66","280","1072","71.47","100","75.37","67","743","74.97","100","536.53","334","743","74.97","100","52.89","47.5","328","65.08","100","390.97","193","328","65.08","100","1072","428","71.47","1326","1","11","0.73","12","0.8","64","4.27","145","9.67","338","22.53","307","20.47","836","55.73"
"source","all","all","lancet","1500","558","707","235","37.2","47.13","15.67","764","50.93","558","37.2","412","27.47","381","25.4","1.18","1","705","47","179","11.93","206","13.73","381","25.4","705","47","2","0.13","0","0","0","0","177","11.8","29","1.93","177","11.8","381","25.4","29","1051","412","37","70.07","27.47","71.84","28.16","1016","399","35","13","1415","48","0","67.73","26.6","2.33","0.87","139","416","142","65","496","","205","6","31","155","284","117","49","97","495","62","","204","6","","29","2","78.76","69","1300","86.67","100","536.05","384","1300","86.67","100","87.13","74.5","958","91.15","100","609.28","453","958","91.15","100","56.26","50","336","81.55","100","336.74","241","336","81.55","100","1300","200","86.67","1059","29","8","0.53","12","0.8","18","1.2","91","6.07","236","15.73","228","15.2","723","48.2"
"source","all","all","neural_networks_ai","1500","982","461","57","65.47","30.73","3.8","1039","69.27","982","65.47","630","42","622","41.47","1.77","2","457","30.47","57","3.8","364","24.27","622","41.47","457","30.47","4","0.27","0","0","0","0","53","3.53","4","0.27","360","24","622","41.47","0","1264","236","0","84.27","15.73","84.27","15.73","1008","122","256","114","1130","370","0","67.2","8.13","17.07","7.6","45","859","123","12","360","","101","","","298","564","46","66","58","356","11","","101","","","","","52.61","42","1406","93.73","100","437.75","202","1406","93.73","100","52.57","41","1182","93.51","100","416.14","191","1182","93.51","100","52.79","47","224","94.92","100","551.77","250.5","224","94.92","100","1406","94","93.73","870","0","8","0.53","13","0.87","25","1.67","88","5.87","1","0.07","186","12.4","596","39.73"
"source","all","all","physical_review","1500","723","687","90","48.2","45.8","6","812","54.13","723","48.2","469","31.27","463","30.87","1.34","1","685","45.67","87","5.8","264","17.6","463","30.87","685","45.67","2","0.13","0","0","0","0","85","5.67","4","0.27","260","17.33","463","30.87","1","1311","182","7","87.4","12.13","87.81","12.19","1232","138","79","44","1370","123","0","82.13","9.2","5.27","2.93","81","637","80","8","593","6","94","","1","236","405","79","25","55","591","8","3","94","","","1","3","53.26","46","1405","93.67","100","366.58","234","1405","93.67","100","54.16","47","1232","93.97","100","343.49","238","1232","93.97","100","47.41","43","167","91.76","100","541.73","224","167","91.76","100","1405","95","93.67","1030","1","12","0.8","8","0.53","11","0.73","81","5.4","42","2.8","211","14.07","792","52.8"
"source","all","all","psychology","1500","874","555","71","58.27","37","4.73","945","63","874","58.27","491","32.73","488","32.53","1.54","2","553","36.87","72","4.8","387","25.8","488","32.53","553","36.87","2","0.13","0","0","0","0","70","4.67","1","0.07","386","25.73","488","32.53","0","986","509","5","65.73","33.93","65.95","34.05","943","469","43","40","1412","83","0","62.87","31.27","2.87","2.67","49","596","277","21","341","1","211","3","1","261","336","48","126","151","341","21","1","211","1","3","","","64.56","55","1270","84.67","100","337.36","239","1270","84.67","100","70.45","60","848","86","100","376.68","280.5","848","86","100","52.65","46","420","82.51","100","257.07","176","420","82.51","100","1270","230","84.67","1009","0","10","0.67","7","0.47","19","1.27","62","4.13","10","0.67","237","15.8","765","51"
"source","all","all","totalenv","1500","449","915","136","29.93","61","9.07","582","38.8","449","29.93","240","16","235","15.67","0.85","0","915","61","128","8.53","219","14.6","235","15.67","915","61","0","0","0","0","0","0","128","8.53","5","0.33","214","14.27","235","15.67","3","1012","485","3","67.47","32.33","67.6","32.4","966","452","46","33","1418","79","0","64.4","30.13","3.07","2.2","86","321","128","47","605","","310","","3","155","171","81","64","64","605","47","","310","","","3","","60.3","53","1113","74.2","100","367.99","236","1113","74.2","100","64.91","58","791","78.16","100","387.44","263","791","78.16","100","48.98","42","322","66.39","100","320.21","186.5","322","66.39","100","1113","387","74.2","1257","3","11","0.73","4","0.27","83","5.53","83","5.53","280","18.67","281","18.73","848","56.53"
"model_domain","anthropic","cs","all","1000","867","103","30","86.7","10.3","3","896","89.6","867","86.7","610","61","603","60.3","2.38","3","99","9.9","30","3","267","26.7","603","60.3","99","9.9","4","0.4","0","0","0","0","26","2.6","3","0.3","264","26.4","603","60.3","1","850","149","1","85","14.9","85.09","14.91","719","99","131","50","818","181","0","71.9","9.9","13.1","5","19","745","122","10","86","","17","","1","221","525","21","46","78","83","9","","16","","","1","","48.42","39","894","89.4","100","364.53","172.5","894","89.4","100","48.65","39","760","89.41","100","336.19","171.5","760","89.41","100","47.13","42","134","89.93","100","525.24","200","134","89.93","100","894","106","89.4","389","1","4","0.4","2","0.2","","","3","0.3","6","0.6","74","7.4","237","23.7"
"model_domain","anthropic","economics","all","500","400","88","12","80","17.6","2.4","412","82.4","400","80","208","41.6","207","41.4","2.04","2","87","17.4","13","2.6","193","38.6","207","41.4","87","17.4","1","0.2","0","0","0","0","12","2.4","0","0","193","38.6","207","41.4","0","437","62","1","87.4","12.4","87.58","12.42","428","57","9","5","485","14","0","85.6","11.4","1.8","1","10","352","47","2","75","1","13","","","169","183","11","24","23","74","2","1","13","","","","","51.85","45","463","92.6","100","283.38","202","463","92.6","100","53.27","46","406","92.91","100","290.13","208","406","92.91","100","41.72","38","57","91.94","100","235.3","163","57","91.94","100","463","37","92.6","292","0","5","1","1","0.2","","","","","","","54","10.8","207","41.4"
"model_domain","anthropic","environmental","all","1000","340","572","88","34","57.2","8.8","424","42.4","340","34","226","22.6","215","21.5","0.99","0","569","56.9","79","7.9","133","13.3","215","21.5","569","56.9","3","0.3","0","0","0","0","76","7.6","8","0.8","125","12.5","215","21.5","4","705","291","4","70.5","29.1","70.78","29.22","653","261","52","30","914","82","0","65.3","26.1","5.2","3","57","255","85","27","393","","179","","4","102","160","53","31","55","390","26","","179","","","4","","63.54","55","812","81.2","100","416.47","240","812","81.2","100","68.38","61","593","84.11","100","427.66","279","593","84.11","100","50.43","45","219","75.26","100","386.17","168","219","75.26","100","812","188","81.2","770","4","9","0.9","1","0.1","18","1.8","3","0.3","","","192","19.2","659","65.9"
"model_domain","anthropic","medicine","all","990","521","271","198","52.63","27.37","20","690","69.7","521","52.63","406","41.01","377","38.08","1.68","2","269","27.17","144","14.55","171","17.27","377","38.08","269","27.17","2","0.2","0","0","0","0","142","14.34","27","2.73","144","14.55","377","38.08","29","703","250","37","71.01","25.25","73.77","26.23","658","238","45","12","896","57","0","66.46","24.04","4.55","1.21","119","391","129","49","193","1","72","6","30","135","277","98","36","99","193","45","1","70","6","1","29","","67.45","55","854","86.26","100","393.46","242.5","854","86.26","100","74.28","61","631","89.76","100","442.37","279","631","89.76","100","48.72","43.5","220","88","100","258.45","177","220","88","100","854","136","86.26","555","29","7","0.71","","","","","3","0.3","","","128","12.93","451","45.56"
"model_domain","anthropic","physics","all","1000","589","344","67","58.9","34.4","6.7","652","65.2","589","58.9","374","37.4","369","36.9","1.62","2","342","34.2","62","6.2","223","22.3","369","36.9","342","34.2","2","0.2","0","0","0","0","60","6","3","0.3","220","22","369","36.9","4","816","173","11","81.6","17.3","82.51","17.49","766","143","50","30","909","80","0","76.6","14.3","5","3","56","494","88","7","266","7","78","","4","185","310","57","35","55","264","5","4","78","","","4","3","52.25","47","943","94.3","100","371.08","250","943","94.3","100","54.44","48","771","94.49","100","360.63","259","771","94.49","100","43.02","39","166","95.95","100","429.57","222.5","166","95.95","100","943","57","94.3","622","4","8","0.8","4","0.4","2","0.2","3","0.3","","","135","13.5","544","54.4"
"model_domain","anthropic","psychology","all","500","341","128","31","68.2","25.6","6.2","372","74.4","341","68.2","197","39.4","197","39.4","1.82","2","128","25.6","31","6.2","144","28.8","197","39.4","128","25.6","0","0","0","0","0","0","31","6.2","0","0","144","28.8","197","39.4","0","335","164","1","67","32.8","67.13","32.87","323","153","12","11","476","23","0","64.6","30.6","2.4","2.2","24","231","109","7","80","1","48","","","93","138","24","51","58","80","7","1","48","","","","","62.76","55","431","86.2","100","297.33","232","431","86.2","100","68.14","61","287","85.67","100","328.45","260","287","85.67","100","52.1","47","143","87.2","100","235.9","178","143","87.2","100","431","69","86.2","303","0","2","0.4","1","0.2","","","3","0.6","","","67","13.4","239","47.8"
"model_domain","gemini","cs","all","1000","243","740","17","24.3","74","1.7","260","26","243","24.3","126","12.6","124","12.4","0.63","0","739","73.9","17","1.7","120","12","124","12.4","739","73.9","1","0.1","0","0","0","0","16","1.6","1","0.1","119","11.9","124","12.4","0","812","188","0","81.2","18.8","81.2","18.8","658","112","154","76","770","230","0","65.8","11.2","15.4","7.6","13","223","20","4","576","","164","","","103","120","14","17","4","575","3","","164","","","","","53.19","44","806","80.6","100","484.69","241","806","80.6","100","54.75","45.5","668","82.27","100","467.74","249","668","82.27","100","45.63","38","138","73.4","100","566.73","217","138","73.4","100","806","194","80.6","874","0","4","0.4","17","1.7","41","4.1","147","14.7","","","206","20.6","828","82.8"
"model_domain","gemini","economics","all","500","234","247","19","46.8","49.4","3.8","252","50.4","234","46.8","42","8.4","40","8","1.06","1","246","49.2","18","3.6","195","39","40","8","246","49.2","1","0.2","0","0","0","0","17","3.4","1","0.2","194","38.8","40","8","1","441","49","10","88.2","9.8","90","10","434","45","7","4","479","11","0","86.8","9","1.4","0.8","12","212","22","3","217","","24","6","4","179","34","11","16","6","217","3","","24","5","4","1","","59.62","52","456","91.2","100","364.58","234","456","91.2","100","60.6","54","409","92.74","100","371.76","237","409","92.74","100","52.2","45.5","46","93.88","100","308.63","210","46","93.88","100","456","44","91.2","457","1","3","0.6","4","0.8","","","32","6.4","","","86","17.2","339","67.8"
"model_domain","gemini","environmental","all","1000","11","985","4","1.1","98.5","0.4","15","1.5","11","1.1","6","0.6","6","0.6","0.03","0","985","98.5","4","0.4","5","0.5","6","0.6","985","98.5","0","0","0","0","0","0","4","0.4","0","0","5","0.5","6","0.6","0","660","339","1","66","33.9","66.07","33.93","596","291","64","48","887","112","0","59.6","29.1","6.4","4.8","4","7","4","","649","","335","1","","3","4","4","2","2","649","","","335","1","","","","65.73","56","670","67","100","466.91","262","670","67","100","71.53","61","470","71.21","100","495.38","307","470","71.21","100","52.07","46","199","58.7","100","401.11","205","199","58.7","100","670","330","67","994","0","10","1","11","1.1","38","3.8","163","16.3","","","256","25.6","989","98.9"
"model_domain","gemini","medicine","all","1000","68","885","47","6.8","88.5","4.7","115","11.5","68","6.8","40","4","39","3.9","0.22","0","884","88.4","48","4.8","29","2.9","39","3.9","884","88.4","1","0.1","0","0","0","0","47","4.7","0","0","29","2.9","39","3.9","0","718","271","11","71.8","27.1","72.6","27.4","685","249","33","22","934","55","0","68.5","24.9","3.3","2.2","37","58","10","9","623","","252","10","1","22","36","37","7","3","623","10","","251","10","1","","","84.24","73","859","85.9","100","527.78","362","859","85.9","100","91.56","81","639","89","100","585.68","420","639","89","100","63.03","58.5","218","80.44","100","359.44","270","218","80.44","100","859","141","85.9","960","0","5","0.5","15","1.5","32","3.2","162","16.2","","","243","24.3","928","92.8"
"model_domain","gemini","physics","all","1000","87","894","19","8.7","89.4","1.9","106","10.6","87","8.7","43","4.3","41","4.1","0.24","0","893","89.3","19","1.9","47","4.7","41","4.1","893","89.3","1","0.1","0","0","0","0","18","1.8","1","0.1","46","4.6","41","4.1","0","797","199","4","79.7","19.9","80.02","19.98","752","166","45","33","918","78","0","75.2","16.6","4.5","3.3","13","68","19","6","716","","174","4","","36","32","14","11","9","715","5","","174","4","","","","57.04","50","915","91.5","100","393.94","290","915","91.5","100","58.89","51","733","91.97","100","400.92","296","733","91.97","100","49.63","45.5","180","90.45","100","366.38","282","180","90.45","100","915","85","91.5","957","0","4","0.4","6","0.6","9","0.9","81","8.1","1","0.1","210","21","567","56.7"
"model_domain","gemini","psychology","all","500","134","356","10","26.8","71.2","2","144","28.8","134","26.8","47","9.4","45","9","0.65","0","354","70.8","12","2.4","89","17.8","45","9","354","70.8","2","0.4","0","0","0","0","10","2","0","0","89","17.8","45","9","0","322","174","4","64.4","34.8","64.92","35.08","307","157","15","17","464","32","0","61.4","31.4","3","3.4","8","103","31","1","211","","142","3","1","67","36","8","22","9","211","1","","142","1","3","","","76.81","64","406","81.2","100","454.36","289","406","81.2","100","84.85","73","271","84.16","100","512.63","324","271","84.16","100","60.47","53","134","77.01","100","333.19","221.5","134","77.01","100","406","94","81.2","453","0","6","1.2","5","1","19","3.8","59","11.8","","","123","24.6","398","79.6"
"model_domain","gpt","cs","all","1000","790","157","53","79","15.7","5.3","842","84.2","790","79","526","52.6","517","51.7","2.16","3","153","15.3","51","5.1","278","27.8","517","51.7","153","15.3","4","0.4","0","0","0","0","47","4.7","5","0.5","273","27.3","517","51.7","1","882","116","2","88.2","11.6","88.38","11.62","772","75","110","41","847","151","0","77.2","7.5","11","4.1","44","705","85","8","133","","23","1","1","240","470","43","38","47","129","8","","23","1","","1","","51.4","43","886","88.6","100","384.32","191","886","88.6","100","51.44","42.5","778","88.21","100","375.96","187.5","778","88.21","100","51.16","47","108","93.1","100","444.49","234.5","108","93.1","100","886","114","88.6","473","1","6","0.6","5","0.5","","","32","3.2","7","0.7","86","8.6","54","5.4"
"model_domain","gpt","economics","all","500","419","61","20","83.8","12.2","4","439","87.8","419","83.8","238","47.6","237","47.4","2.19","2","61","12.2","19","3.8","183","36.6","237","47.4","61","12.2","0","0","0","0","0","0","19","3.8","1","0.2","182","36.4","237","47.4","0","427","73","0","85.4","14.6","85.4","14.6","417","68","10","5","485","15","0","83.4","13.6","2","1","19","360","59","1","48","","13","","","163","198","18","20","39","48","1","","13","","","","","52.97","44","465","93","100","306.79","199","465","93","100","55.56","47","397","92.97","100","322.63","215","397","92.97","100","37.81","34","68","93.15","100","214.34","158.5","68","93.15","100","465","35","93","262","0","4","0.8","6","1.2","4","0.8","1","0.2","22","4.4","37","7.4","67","13.4"
